src,dst,rel,label
163270,155864,protein_protein,1
173914,198758,protein_protein,1
160160,184964,protein_protein,1
186908,158862,protein_protein,1
186301,159720,protein_protein,1
162325,188065,protein_protein,1
189299,170142,protein_protein,1
158256,183226,protein_protein,1
162760,158818,protein_protein,1
184772,157619,protein_protein,1
195873,189252,protein_protein,1
197409,190631,protein_protein,1
191007,185164,protein_protein,1
160394,160394,protein_protein,2
156444,163248,protein_protein,1
188675,176737,protein_protein,1
186566,155234,protein_protein,1
187640,162639,protein_protein,1
159857,186444,protein_protein,1
157731,176926,protein_protein,1
158125,157321,protein_protein,1
162818,161328,protein_protein,1
187111,187283,protein_protein,1
196180,156522,protein_protein,1
162818,190150,protein_protein,1
153594,186518,protein_protein,1
157353,159182,protein_protein,1
198443,185209,protein_protein,1
158318,156508,protein_protein,1
160318,160156,protein_protein,1
156302,175876,protein_protein,1
161468,196616,protein_protein,1
186464,156457,protein_protein,1
195378,198090,protein_protein,1
159347,158913,protein_protein,1
154913,156060,protein_protein,1
195467,154716,protein_protein,1
162328,158374,protein_protein,1
154566,195379,protein_protein,1
161541,194636,protein_protein,1
159487,187159,protein_protein,1
182892,198307,protein_protein,1
187003,179662,protein_protein,1
158048,189444,protein_protein,1
195553,188571,protein_protein,1
158506,180019,protein_protein,1
194546,187258,protein_protein,1
185935,187773,protein_protein,1
196616,165044,protein_protein,1
196276,154067,protein_protein,1
157644,190185,protein_protein,1
165022,159103,protein_protein,1
156552,157595,protein_protein,1
153832,184909,protein_protein,1
183916,197703,protein_protein,1
179019,186072,protein_protein,1
195285,162421,protein_protein,1
163359,155248,protein_protein,1
195873,196773,protein_protein,1
187281,155275,protein_protein,1
156782,159108,protein_protein,2
157633,160981,protein_protein,1
156184,189706,protein_protein,1
156795,198330,protein_protein,1
191999,156456,protein_protein,1
160191,161372,protein_protein,1
162341,186704,protein_protein,1
174834,76996,protein_protein,1
176842,175601,protein_protein,1
158806,161372,protein_protein,1
187708,157850,protein_protein,1
162336,187759,protein_protein,1
163580,187961,protein_protein,1
193996,158084,protein_protein,1
155425,160379,protein_protein,1
159610,189342,protein_protein,1
