src,dst,rel,label
2616,2002,protein_protein,2
431,5840,protein_protein,2
7670,6660,protein_protein,1
9092,10608,protein_protein,1
6671,6723,protein_protein,2
2978,5112,protein_protein,1
11796,6954,protein_protein,1
5496,11148,protein_protein,1
2571,1822,protein_protein,1
12409,4559,protein_protein,1
7377,173,protein_protein,1
5665,10827,protein_protein,1
3105,151,protein_protein,1
4302,15348,protein_protein,1
4292,8479,protein_protein,1
7750,3062,protein_protein,1
7673,1587,protein_protein,1
5755,4870,protein_protein,1
605,18156,protein_protein,2
6596,5733,protein_protein,1
1312,7927,protein_protein,1
1040,9457,protein_protein,1
3358,1173,protein_protein,1
11464,3927,protein_protein,1
10151,10773,protein_protein,1
192,4925,protein_protein,1
13474,17053,protein_protein,1
90,3375,protein_protein,1
6812,3306,protein_protein,1
630,3590,protein_protein,1
5844,4382,protein_protein,1
6239,6135,protein_protein,1
6681,2033,protein_protein,1
3529,15594,protein_protein,1
8767,457,protein_protein,1
1475,3503,protein_protein,1
5366,7743,protein_protein,2
6089,5578,protein_protein,1
945,3120,protein_protein,1
5396,11161,protein_protein,1
6331,3552,protein_protein,1
2140,6843,protein_protein,1
9855,3562,protein_protein,1
4486,14841,protein_protein,1
11977,4584,protein_protein,1
4394,2334,protein_protein,1
10531,4011,protein_protein,1
240,240,protein_protein,2
37,6543,protein_protein,2
12343,9594,protein_protein,1
4460,282,protein_protein,1
973,1940,protein_protein,1
3993,7396,protein_protein,2
13502,8144,protein_protein,1
2944,8398,protein_protein,1
12106,11552,protein_protein,1
15011,718,protein_protein,1
1412,12184,protein_protein,1
2845,4096,protein_protein,1
3658,9996,protein_protein,1
13705,7865,protein_protein,1
12721,4442,protein_protein,1
6546,6592,protein_protein,2
8748,341,protein_protein,1
1408,964,protein_protein,1
347,14580,protein_protein,1
2031,8234,protein_protein,1
4659,8597,protein_protein,1
9630,10617,protein_protein,1
7405,4537,protein_protein,1
10659,11411,protein_protein,1
2946,10160,protein_protein,1
6674,894,protein_protein,1
3714,8695,protein_protein,1
5366,3184,protein_protein,2
14057,9594,protein_protein,1
7631,4703,protein_protein,1
5665,19085,protein_protein,1
7865,7865,protein_protein,1
13912,12069,protein_protein,1
3172,2613,protein_protein,1
6613,205,protein_protein,2
3964,6720,protein_protein,1
2022,5556,protein_protein,1
268,536,protein_protein,1
1158,2010,protein_protein,1
2041,17022,protein_protein,1
10285,10714,protein_protein,1
11345,11838,protein_protein,1
2239,11613,protein_protein,1
81,6835,protein_protein,1
669,7343,protein_protein,2
698,1644,protein_protein,1
265,2840,protein_protein,1
5745,3912,protein_protein,1
12014,2706,protein_protein,1
1131,7951,protein_protein,1
3672,1660,protein_protein,1
1390,10522,protein_protein,1
12340,256,protein_protein,1
323,5781,protein_protein,1
1081,546,protein_protein,1
1646,961,protein_protein,1
435,5636,protein_protein,1
11946,15793,protein_protein,2
7914,494,protein_protein,1
7450,16219,protein_protein,1
1599,9421,protein_protein,1
103,9431,protein_protein,1
3738,6607,protein_protein,1
4579,15416,protein_protein,1
417,5938,protein_protein,1
662,10532,protein_protein,1
10810,4742,protein_protein,1
13094,2988,protein_protein,1
5909,3565,protein_protein,1
431,6249,protein_protein,2
2788,6719,protein_protein,1
1657,691,protein_protein,1
643,7705,protein_protein,1
16055,3458,protein_protein,1
5823,423,protein_protein,1
4292,1295,protein_protein,1
3625,13763,protein_protein,1
10786,7839,protein_protein,1
8354,14786,protein_protein,1
2201,2970,protein_protein,1
2066,9933,protein_protein,1
7822,3855,protein_protein,1
